berita,kategori
"""Microsoft resmi menghentikan dukungan terhadap Windows 7 pada Selasa (14/1) hari ini, Artinya, Microsoft akan berhenti menyediakan pembaruan dan tambahan keamanan untuk sistem operasi yang telah berusia 11 tahun tersebut.

Dilansir dari CNN, perubahan itu akan mempengaruhi ratusan juta orang karena lebih dari sepertiga PC menggunakan Windows 7.

Menurut NetMarketShare, jumlah itu hanya sedikit lebih rendah dari jumlah pengguna Windows 10. Sistem operasi PC paling populer itu tercatat ada di hampir separuh dari komputer pribadi dunia. Menurut angka terbaru Microsoft, Windows 10 digunakan pada 900 juta perangkat. Pengguna Windows 7 masih dapat menggunakan komputer mereka setelah hari ini. ""Tetapi Microsoft memperingatkan mereka akan berada pada risiko yang lebih besar untuk virus dan malware,"" demikian pengumuman Microsoft.

Perusahaan mengimbau pengguna untuk meningkatkan sistem operasi ke Windows 10 seharga US$139 atau membeli perangkat baru yang menjalankan Windows 10 jika komputer mereka lebih dari tiga tahun.

Sebelumnya, Microsoft menawarkan upgrade gratis dari Windows 7 ke Windows 10 ketika Microsoft meluncurkan sistem operasi terbaru lebih dari empat tahun lalu. Seperti pembuat sistem operasi lain, Microsoft secara teratur mengakhiri dukungan untuk perangkat lunak yang sudah ketinggalan zaman. Ia berhenti mendukung Windows 8 pada 2016 dan Windows XP pada 2014.

Windows 10 diluncurkan pada 2015 dan menyertakan beberapa pembaruan untuk Windows 8, meski sebagian besar mendapat ejekan. Hal itu termasuk perubahan tampilan, kemampuan untuk menggunakan asisten suara Cortana dan peningkatan fitur keamanan.""",valid
"""Indosat Bantah Kirimkan SMS Waspada Reuni 212""",valid
"Jakarta - Indosat Ooredoo membantah kalau pihaknya menyebarkan SMS yang yang mengusik Reuni 212 di Monas, Jakarta, tadi pagi, Minggu (2/11/2018). Dari SMS yang beredar tersebut, terpampang nama Indosat Ooredoo di layar ponsel bagian kiri atas sebagai penanda menggunakan layanan operator seluler yang identik warna kuning dan merah itu. Ketika dikonfirmasi kepada Indosat Ooredoo, mereka membantahnya. Hal itu disampaikan oleh Group Head Corporate Communications Indosat Turina Farouk dalam pernyataan kepada detikINET. ""Setelah kami lakukan investigasi. SMS broadcast tersebut tidak dikirimkan oleh Indosat,"" kata Turina. Semua ini bermula pada sejumlah jurnalis yang meliput Reuni 212 dari berbagai media mendapat SMS 'misterius' soal aksi tersebut. Meski berasal dari berbagai media, mereka punya satu kesamaan, yaitu menggunakan operator seluler yang sama. Berikut bunyi SMS yang diterima : ""Waspadai Reuni Alumni 212 ditunggangi HTI."" Ada SMS 'Waspada Reuni 212 Ditunggangi HTI' di Sekitar MonasFoto: screenshot layar ponsel SMS itu dikirim oleh 212 DAMAI. Tak ada keterangan nomor dari pengirim. SMS itu hanya diterima oleh mereka yang meliput di sekitar Monas. Belum diketahui apakah ada juga peserta Reuni 212 yang menerima SMS yang sama. Sejumlah peserta Reuni 212 yang ditemui mengaku tak mendapat SMS tersebut, meski memang mereka menggunakan operator seluler yang berbeda.",valid
"""hoax, Kapuspen TNI: Laporan OPM Soal Korban TNI Hanya Propaganda""",valid
"""Viral, Iklan Hago Diprotes Gara-gara Dianggap Lecehkan Guru""",valid
"""Jakarta - Protes berdatangan atas munculnya iklan dari perusahaan game Hago. Salah satunya dari Ikatan Alumni UNJ (IKA Alumni UNJ), yang menganggap iklan tersebut melecehkan profesi guru. Iklan tersebut awalnya memperlihatkan sosok seorang guru yang menghukum salah satu siswa dan ditakuti siswa lain. Kemudian datang seorang siswa yang terlambat. Bukannya marah, guru ini justru mempersilakan siswa yang telat untuk duduk, bahkan membawakan tasnya. Belakangan, ada adegan guru itu bermain game bersama siswa yang telat. Dalam pernyataannya, IKA UNJ menegaskan guru adalah sosok yang menjadi teladan bagi peserta didik sehingga kerap disebut sebagai sosok yang patut untuk 'digugu dan ditiru'. Guru dianggap memiliki kewajiban dapat berperilaku baik yang dapat menjadi teladan dan diikuti para peserta didiknya. ""Melihat iklan Hago yang viral di media sosial, Ikatan Alumni UNJ (IKA UNJ) menganggap dan patut menduga iklan tersebut sudah melecehkan profesi guru. Karena sosok guru di video tersebut menunjukkan bukan sosok guru yang dapat digugu dan ditiru,"" kata Ketua Umum IKA UNJ, Juri Ardiantoro, seperti dikutip dari situsnya, Selasa (14/5/2019). Menurut IKA UNJ, ada dua indikasi iklan tersebut melecehkan profesi guru. Pertama, guru di iklan menunjukkan sikap diskriminatif yang sangat bertentangan dengan prinsip dasar pendidikan. Kedua, guru di iklan tidak menunjukkan sikap yang membangun sikap rajin belajar para siswa, bahkan sebaliknya, mengajarkan untuk asyik bermain game. ""Berdasarkan dua hal pokok di atas, kami pengurus IKA UNJ menyatakan keberatan adanya iklan Hago di media sosial karena dapat merusak citra guru dan membuat peserta didik malas belajar. Kami meminta manajemen Hago atau siapa pun pembuat iklan Hago untuk segera menarik dan menghapus iklan Hago tersebut serta manajemen Hago meminta maaf kepada publik melalui media cetak dan daring,"" paparnya. Ada pula beberapa petisi online yang memprotes iklan Hago ini. Salah satu petisi yang dibuat Muhammad Habibie telah diteken lebih dari 8.000 kali. Di Facebook, salah satu netizen yang memprotes iklan Hago ini mengaku telah dikontak oleh manajemen. Manajemen Hago memberi pernyataan berisi permintaan maaf dan penarikan iklan tersebut. Berikut ini pernyataan dari Hago: PERNYATAAN RESMI BERKAITAN DENGAN KONTEN IKLAN HAGO Pelajaran Berharga Untuk Melangkah ke Depan 13 Mei 2019, Kami mendengar Anda, terima kasih untuk masukannya, dan kami meminta maaf. Tidak ada niat dari kami beserta tim untuk menggambarkan suatu profesi dengan tidak sepantasnya. Konten terkait sudah kami hapus dari seluruh kanal resmi kami dan kami akan melakukan evaluasi proses internal sehingga hal tersebut tidak terjadi lagi di masa mendatang. Ide dari iklan ini adalah menggambarkan bahwa bermain game dapat membantu semua orang, dari berbagai latar belakang untuk membangun hubungan dan interaksi sosial yang menyenangkan. Kami sadar, pesan ini tidak tersampaikan secara baik. Seiring dengan berkembangnya perusahaan, ada kalanya kami melakukan kesalahan dan kami akan belajar dari pengalaman tersebut. Kami mengucapkan terima kasih kepada semua pihak terkait, terutama masukan dari publik, yang membantu kami untuk terus belajar menjadi lebih baik guna mampu memberikan pengalaman terbaik kepada pengguna Cyra Capanzana, Hago Business Development Director for SEA""",valid
"""Jokowi Dapat Anugerah Adat Kehormatan Maluku""",valid
"""Maluku, CNN Indonesia -- Presiden Joko Widodo menerima penganugerahan gelar adat kehormatan Upu Kalatia Kenalean Da Ntul Po Deyo Routnya Hnulho di Maluku. Anugerah itu diberikan karena Jokowi dianggap sebagai pemimpin besar yang peduli terhadap kesejahteraan hidup masyarakat adat Maluku. Anugerah diberikan oleh Gubernur Maluku Said Assagaff dan Ketua Majelis Latupati Provinsi Maluku Bonifaxius Silooy. Penganugerahan disaksikan raja-raja Maluku. Prosesi ini diawali dengan pemberian jubah, ikat pinggang, ikat kepala kehormatan beserta tongkat komando kepada Jokowi. Anugerah ini disambut baik Jokowi. Ia berterima kasih dan merasa terhormat menerima penghargaan ini. Menurutnya, gelar yang diberikan menjadi dasar untuk semakin memajukan dan menyejahterakan masyarakat Maluku. ""Saya merasa bangga karena artinya saya menjadi bagian laboratorium perdamaian di Maluku. Kearifan lokal berbasis persaudaraan,"" ucap Jokowi di Kristiani Center, Maluku, Jumat (24/2). Setelah menerima penghargaan, Jokowi mengekspresikan perasaan senangnya kepada Maluku melalui pantun. ""Panah Gurita di ujung Tanjong. Cari bia di ujung meti. Biar tapisah gunung deng tanjong. Orang Maluku selalu di hati,"" tutur Jokowi yang disambut tepuk tangan meriah dari tamu undangan. Gubernur Maluku juga sempat menyampaikan terima kasih kepada Jokowi. Said berterima kasih karena dalam sebulan, Presiden berkunjung dua kali ke Ambon. ""Dalam sebulan sudah dua kali mengunjungi. Dengar-dengar ini tanda Pak Presiden sangat mencintai rakyat Maluku. Kami sampaikan selamat datang lagi kepada Presiden,"" kata Said. Kedatangan pertama Jokowi terjadi pada 9 Februari. Sementara, kedatangannya kali ini untuk membuka secara resmi tanwir Muhammadiyah di Islamic Center. Saat membuka acara Muhammadiyah, Jokowi mengatakan dua kali kedatangannya ke Maluku karena dirinya mencintai Maluku dan Muhammadiyah ""Saya dua minggu datang ke Ambon, yang pertama karena saya cinta Maluku, yang kedua saya cinta Muhammadiyah,"" ujar Jokowi.""",valid
"""Ngeri! Kerangka Manusia Duduk 'Huni' Rumah Kosong di Bandung""",valid
"""Kabupaten Bandung - Kerangka manusia ditemukan dalam posisi duduk di sebuah rumah kosong, Kabupaten Bandung, Jawa Barat. Jasad manusia itu sudah berbentuk tulang belulang. Kerangka manusia tersebut ditemukan di sebuah rumah di Kompleks Sukamenak Indah, Blok I 61 RT 06 RW 04 Desa Sayatu, Kecamatan Margahayu, Kabupaten Bandung, Jawa Barat, Selasa (14/1) malam. Saat ditemukan, posisi kerangka sedang duduk di sofa. ""Ditemukan kerangka manusia diduga yang terduduk di kursi sofa tertutup jas hujan warna telur asin muda,"" ucap Kabid Humas Polda Jabar Kombes Saptono Erlangga Waskitoroso dalam keterangannya, Rabu (15/1/2020). Erlangga menjelaskan kerangka manusia itu ditemukan oleh seorang warga bernama Suherman (43). Dia diminta pemilik rumah mengontrol dan membersihkan rumah kosong itu. Berdasarkan keterangannya, Suherman mengaku, saat ia datang, rumput-rumput di pekarangan sudah ada yang memotong. Bahkan pekarangan sudah ditanami pohon singkong. ""Keterangan saksi, kaca jendela depan rumah pecah dan pintu rumah samping dalam keadaan terbuka, yang biasanya terkunci rapat. Kemudian saksi masuk ke dalam ruang keluarga dan langsung kaget menemukan di kursi sofa yang diduga kerangka tulang manusia,"" ujar Erlangga. Personel Polresta Bandung menerima laporan kejadian tersebut. Petugas Inafis Polresta Bandung menggelar olah tempat kejadian perkara (TKP) di rumah kosong tersebut. Saat ini penemuan itu tengah dalam penyelidikan. """,valid
"""Jokowi Dapat Anugerah Adat Kehormatan Maluku""",valid
"""Maluku, CNN Indonesia -- Presiden Joko Widodo menerima penganugerahan gelar adat kehormatan Upu Kalatia Kenalean Da Ntul Po Deyo Routnya Hnulho di Maluku. Anugerah itu diberikan karena Jokowi dianggap sebagai pemimpin besar yang peduli terhadap kesejahteraan hidup masyarakat adat Maluku. Anugerah diberikan oleh Gubernur Maluku Said Assagaff dan Ketua Majelis Latupati Provinsi Maluku Bonifaxius Silooy. Penganugerahan disaksikan raja-raja Maluku. Prosesi ini diawali dengan pemberian jubah, ikat pinggang, ikat kepala kehormatan beserta tongkat komando kepada Jokowi. Anugerah ini disambut baik Jokowi. Ia berterima kasih dan merasa terhormat menerima penghargaan ini. Menurutnya, gelar yang diberikan menjadi dasar untuk semakin memajukan dan menyejahterakan masyarakat Maluku. ""Saya merasa bangga karena artinya saya menjadi bagian laboratorium perdamaian di Maluku. Kearifan lokal berbasis persaudaraan,"" ucap Jokowi di Kristiani Center, Maluku, Jumat (24/2). Setelah menerima penghargaan, Jokowi mengekspresikan perasaan senangnya kepada Maluku melalui pantun. ""Panah Gurita di ujung Tanjong. Cari bia di ujung meti. Biar tapisah gunung deng tanjong. Orang Maluku selalu di hati,"" tutur Jokowi yang disambut tepuk tangan meriah dari tamu undangan. Gubernur Maluku juga sempat menyampaikan terima kasih kepada Jokowi. Said berterima kasih karena dalam sebulan, Presiden berkunjung dua kali ke Ambon. ""Dalam sebulan sudah dua kali mengunjungi. Dengar-dengar ini tanda Pak Presiden sangat mencintai rakyat Maluku. Kami sampaikan selamat datang lagi kepada Presiden,"" kata Said. Kedatangan pertama Jokowi terjadi pada 9 Februari. Sementara, kedatangannya kali ini untuk membuka secara resmi tanwir Muhammadiyah di Islamic Center. Saat membuka acara Muhammadiyah, Jokowi mengatakan dua kali kedatangannya ke Maluku karena dirinya mencintai Maluku dan Muhammadiyah ""Saya dua minggu datang ke Ambon, yang pertama karena saya cinta Maluku, yang kedua saya cinta Muhammadiyah,"" ujar Jokowi.""",valid
"""Perakit Bom Thamrin: Target Saya Ngebom MPR dan DPR""",valid
